id|rank|symbol|name|supply|maxSupply|marketCapUsd|volumeUsd24Hr|priceUsd|changePercent24Hr|vwap24Hr|explorer
bitcoin|1|BTC|Bitcoin|19196056.0000000000000000|21000000.0000000000000000|392967983155.1963300509370024|10732096633.4792043439950198|20471.2875996609058679|-0.4081201083040659|20493.3894623382545555|https://blockchain.info/
ethereum|2|ETH|Ethereum|122373863.4990000000000000||191969819914.3042981971912403|4709335947.9398505129211719|1568.7158550475364705|-1.3906674149960992|1580.8003943600022870|https://etherscan.io/
tether|3|USDT|Tether|69419933938.3116100000000000||69352848877.6756507553637948|18716665530.5159433762284968|0.9990336340467340|0.0832864482280882|0.9980261800658721|https://www.omniexplorer.info/asset/31
binance-coin|4|BNB|BNB|166801148.0000000000000000|166801148.0000000000000000|53486980837.2717688999022328|409466276.4698436480143475|320.6631457792590786|-2.0751079672227373|322.8965909550140154|https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin|5|USDC|USD Coin|43035277448.5961100000000000||42986647581.1648840036132371|1122034552.5192149347747787|0.9988699999090441|0.0160075361545221|0.9991480098154532|https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
binance-usd|6|BUSD|Binance USD|21658670444.8392560000000000||21635115419.5724278851634881|935747759.8562178668792848|0.9989124436180504|0.0728205207398128|0.9986204749013579|https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
xrp|7|XRP|XRP|45404028640.0000000000000000|100000000000.0000000000000000|20769041149.4401003423171520|467167089.8239754248841704|0.4574272762030418|-0.6833971427615663|0.4605985138299712|https://xrpcharts.ripple.com/#/graph/
dogecoin|8|DOGE|Dogecoin|132670764299.8940900000000000||18268712623.8196188279796394|2395287203.2205951995479674|0.1376996109144613|-10.9219849927127603|0.1425505796364013|http://dogechain.info/chain/Dogecoin
cardano|9|ADA|Cardano|34330933112.1690000000000000|45000000000.0000000000000000|13647596572.4227692458233190|178769201.3049828721521959|0.3975306038968460|-3.7297165716730178|0.4022632025948964|https://cardanoexplorer.com/
solana|10|SOL|Solana|359331798.6487542400000000||11429678767.1344617711422567|109417742.3379877542396507|31.8081472614310392|-3.2121646610183930|32.3982294889411413|https://explorer.solana.com/
terra-luna|11|LUNA|Terra|3453685944.3708580000000000||8179672599.6154077358641282|29956904.2583067604895408|2.3683892314955293|-2.7196935946699887|2.4126819959092040|https://finder.terra.money/
polygon|12|MATIC|Polygon|8734317475.2849300000000000|10000000000.0000000000000000|7512016788.1078833474989515|163438164.5469200191170450|0.8600576758704122|-4.4340738038063087|0.8778281747596404|https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
polkadot|13|DOT|Polkadot|1167083956.7860400000000000||7484115818.0929421608080713|91757641.0665561340795685|6.4126627519608647|-3.8251120960031676|6.4966086522154593|https://polkascan.io/polkadot
